epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.096,2.38687,4.55425,1.68099,0.00392,0.58824,0.00333,0.00115,2.00019,4.27086,1.50971,0.0001,0.0001,0.0001
2,46.0893,1.94197,3.54302,1.38087,0.00627,0.94118,0.00946,0.00408,1.78249,3.81299,1.24992,0.000217822,0.000217822,0.000217822
3,65.4541,1.65214,2.33798,1.17819,0.00647,0.97059,0.01179,0.00533,1.68205,3.68557,1.15824,0.000333268,0.000333268,0.000333268
4,85.2851,1.59699,2.09804,1.227,0.00471,0.70588,0.00603,0.00247,1.74661,3.96085,1.3293,0.000446338,0.000446338,0.000446338
5,104.135,1.55399,1.61634,1.18675,0.00333,0.5,0.00291,0.00148,1.61699,4.08479,1.33444,0.000557032,0.000557032,0.000557032
6,122.858,1.62425,1.74584,1.28358,0.00137,0.20588,0.00087,0.00031,1.64536,4.24506,1.47022,0.00066535,0.00066535,0.00066535
7,141.494,1.55648,1.39893,1.20043,0.00118,0.17647,0.00076,0.00024,1.58592,4.13425,1.4381,0.000771292,0.000771292,0.000771292
8,160.927,1.60649,1.44894,1.27768,0.0002,0.02941,0.00011,5e-05,1.79416,4.20909,1.56833,0.000874858,0.000874858,0.000874858
9,179.709,1.51972,1.37882,1.17875,0.00275,0.41176,0.00263,0.00097,1.62264,4.01664,1.4265,0.000976048,0.000976048,0.000976048
10,198.49,1.50426,1.39209,1.19661,0.00647,0.97059,0.68993,0.37689,1.55738,3.22304,1.16496,0.00107486,0.00107486,0.00107486
11,217.297,1.54653,1.31586,1.17754,0.00608,0.91176,0.61282,0.28517,1.61665,3.18645,1.21791,0.0011713,0.0011713,0.0011713
12,235.992,1.58194,1.24199,1.17126,0.00549,0.82353,0.04303,0.02179,1.57902,3.54797,1.34015,0.00126536,0.00126536,0.00126536
13,254.749,1.51359,1.34162,1.27266,0.00647,0.97059,0.77036,0.41035,1.58851,2.93818,1.28239,0.00135705,0.00135705,0.00135705
14,274.341,1.61476,1.23752,1.25125,0.50826,0.55882,0.49269,0.21339,1.63967,2.98142,1.3086,0.00144636,0.00144636,0.00144636
15,295.017,1.62398,1.2358,1.16708,1,0.36705,0.96662,0.45625,1.61341,2.50191,1.27793,0.00153329,0.00153329,0.00153329
16,318.527,1.48285,1.20787,1.22208,0.97543,0.70588,0.92923,0.47272,1.5978,2.02729,1.30554,0.00161785,0.00161785,0.00161785
17,339.256,1.55192,1.19219,1.22709,0.93387,0.73529,0.86379,0.42294,1.76408,2.03321,1.40317,0.0016832,0.0016832,0.0016832
18,358.591,1.49441,1.24469,1.22228,0.99517,0.85294,0.97933,0.50822,1.65828,1.84389,1.36446,0.0016634,0.0016634,0.0016634
19,378.69,1.50206,1.13768,1.26166,0.96458,0.94118,0.98052,0.51417,1.65306,1.60256,1.38085,0.0016436,0.0016436,0.0016436
20,398.527,1.49426,1.10785,1.25199,0.96146,0.73383,0.9461,0.47234,1.68188,1.99915,1.41957,0.0016238,0.0016238,0.0016238
21,418.271,1.43931,1.03038,1.24018,1,0.53221,0.88225,0.44643,1.63853,2.21418,1.40309,0.001604,0.001604,0.001604
22,437.671,1.50119,1.06808,1.20708,1,0.53274,0.81271,0.44503,1.6377,2.25077,1.41985,0.0015842,0.0015842,0.0015842
23,456.485,1.41406,0.97263,1.21104,0.83481,0.59473,0.78669,0.40022,1.6985,2.12362,1.43859,0.0015644,0.0015644,0.0015644
24,475.247,1.50254,1.00084,1.24491,0.97237,0.70588,0.90414,0.4424,1.7265,1.81856,1.4508,0.0015446,0.0015446,0.0015446
25,493.731,1.43124,0.92117,1.23748,1,0.87168,0.98432,0.5022,1.70248,1.66878,1.42497,0.0015248,0.0015248,0.0015248
26,512.282,1.40212,0.88987,1.17797,0.98649,1,0.995,0.50402,1.73646,1.10131,1.44073,0.001505,0.001505,0.001505
27,530.908,1.35705,0.92332,1.1903,0.99463,1,0.995,0.51492,1.68217,1.07723,1.42287,0.0014852,0.0014852,0.0014852
28,549.486,1.40282,0.81783,1.18817,1,0.99511,0.995,0.53687,1.65458,0.92019,1.40274,0.0014654,0.0014654,0.0014654
29,568.291,1.46352,0.84935,1.15989,0.99672,1,0.995,0.52637,1.64351,0.82565,1.40934,0.0014456,0.0014456,0.0014456
30,586.895,1.45366,0.82367,1.30773,0.99642,1,0.995,0.50827,1.68858,0.82655,1.44001,0.0014258,0.0014258,0.0014258
31,605.563,1.36477,0.82993,1.22465,0.99646,1,0.995,0.5131,1.74759,0.84391,1.4657,0.001406,0.001406,0.001406
32,624.167,1.49312,0.83362,1.21124,0.99269,1,0.995,0.48941,1.7671,0.9831,1.45402,0.0013862,0.0013862,0.0013862
33,642.983,1.39637,0.79741,1.16306,0.99561,1,0.995,0.50372,1.71167,0.87569,1.42378,0.0013664,0.0013664,0.0013664
34,661.648,1.34237,0.77884,1.17763,0.99691,1,0.995,0.48139,1.73125,0.84429,1.44609,0.0013466,0.0013466,0.0013466
35,680.256,1.39232,0.77382,1.17405,0.99618,1,0.995,0.48309,1.77653,0.85499,1.46642,0.0013268,0.0013268,0.0013268
36,698.888,1.45742,0.80964,1.27344,0.99568,1,0.995,0.48775,1.81225,0.87648,1.51161,0.001307,0.001307,0.001307
